outcome,block,r2_marginal,r2_conditional,icc_task_empty,icc_task_full,var_task_empty,var_resid_empty,delta_r2_sequential,delta_r2_unique,wald_chi2,wald_df,wald_p,n_obs,n_groups
domain_entropy,model_identity,0.05155742763797642,,,,,,0.014906383599180721,0.0062927399415808605,139.97022918749715,3.0,3.836003476551738e-30,10518,1129
domain_entropy,retrieval_arm,0.16702700856498212,,,,,,0.11546958092700571,0.021710387531927305,481.1521035069495,1.0,1.19963503647779e-106,10518,1129
domain_entropy,model_x_arm,0.167990016934195,,,,,,0.0009630083692128699,0.0009630083692128699,21.573661123024614,3.0,8.000711548621808e-05,10518,1129
compression_redundancy,__full_model__,0.2875685150121799,0.5467192729231753,0.24880422057564702,0.36375534121070735,0.0011430934825749205,0.0034512557608993143,,,,,,10519,1129
compression_redundancy,task_context,0.022886918172796474,,,,,,0.022886918172796474,0.023396835014918294,88.32513530744565,10.0,1.1498946081079727e-14,10519,1129
compression_redundancy,model_identity,0.04635557188547299,,,,,,0.023468653712676518,0.008860561204413753,209.57766903367195,3.0,3.5930029490705525e-45,10519,1129
compression_redundancy,retrieval_arm,0.2869731988088222,,,,,,0.24061762692334923,0.05082191347238654,1181.6721595634729,1.0,5.867804692635291e-259,10519,1129
compression_redundancy,model_x_arm,0.2875685150121799,,,,,,0.0005953162033576764,0.0005953162033576764,13.992662793832427,3.0,0.002915156997131357,10519,1129
judge,__full_model__,0.0325597863366884,0.5914419420303576,0.5853635416337188,0.5776916731395779,0.08606141963215243,0.06096075293424884,,,,,,10632,1129
judge,task_context,0.02881767215475618,,,,,,0.02881767215475618,0.028811588986506025,53.72581697666727,10.0,5.457465309086312e-08,10632,1129
judge,model_identity,0.03152153731281013,,,,,,0.002703865158053948,0.0018336792332727461,47.6657481391974,3.0,2.5084070133562594e-10,10632,1129
judge,retrieval_arm,0.03250412462017279,,,,,,0.0009825873073626631,6.000967247832972e-05,1.5947943420215918,1.0,0.20664249126941625,10632,1129
judge,model_x_arm,0.0325597863366884,,,,,,5.566171651560925e-05,5.566171651560925e-05,2.1007959180272837,3.0,0.5517517604841244,10632,1129
gated,__full_model__,0.031152806475155222,0.7761539670721578,0.7713087419221079,0.7689563076366572,0.18024754045051436,0.05344297886258972,,,,,,10632,1129
gated,task_context,0.028301790456607228,,,,,,0.028301790456607228,0.028017608353028182,41.75539478311781,10.0,8.288599750043005e-06,10632,1129
gated,model_identity,0.031112354550226907,,,,,,0.0028105640936196795,0.0015877416852594292,76.36761293795793,3.0,1.844834479993774e-16,10632,1129
gated,retrieval_arm,0.031116629578644504,,,,,,4.275028417596166e-06,-6.885664366115818e-08,0.02857703142440026,1.0,0.8657593395071752,10632,1129
gated,model_x_arm,0.031152806475155222,,,,,,3.6176896510718703e-05,3.6176896510718703e-05,0.3520937375135944,3.0,0.9499508902218883,10632,1129
