model,scorer,rate,ci_low,ci_high,n
GLM-5.2,Deterministic match,0.35904255319148937,0.3315492021276596,0.386968085106383,1128
GLM-5.2,Semantic judge,0.7934397163120568,0.7695035460992907,0.8160571808510636,1128
DeepSeek V4,Deterministic match,0.36514336917562723,0.33736559139784944,0.39471326164874554,1116
DeepSeek V4,Semantic judge,0.8122759856630825,0.7889784946236559,0.8342293906810035,1116
GPT-5.6 Terra,Deterministic match,0.42338352524357836,0.39458591674047827,0.4508525243578386,1129
GPT-5.6 Terra,Semantic judge,0.8489813994685562,0.8277236492471214,0.8689105403011514,1129
Claude Sonnet 5,Deterministic match,0.3503683241252302,0.322744014732965,0.3784530386740331,1086
Claude Sonnet 5,Semantic judge,0.7905156537753223,0.7674953959484346,0.8130755064456722,1086
