model,question_type,rate,ci_low,ci_high,n
GLM-5.2,Quantitative / composed,0.7360655737704918,0.7008196721311475,0.7704918032786885,610
GLM-5.2,Other factual,0.861003861003861,0.8301158301158301,0.888996138996139,518
DeepSeek V4,Quantitative / composed,0.7516611295681063,0.717607973421927,0.7857142857142857,602
DeepSeek V4,Other factual,0.8832684824902723,0.8560311284046692,0.9105058365758755,514
GPT-5.6 Terra,Quantitative / composed,0.8049180327868852,0.7729508196721312,0.8352459016393443,610
GPT-5.6 Terra,Other factual,0.9007707129094412,0.8747350674373795,0.9248554913294798,519
Claude Sonnet 5,Quantitative / composed,0.7326158940397351,0.6970198675496688,0.7673841059602649,604
Claude Sonnet 5,Other factual,0.8630705394190872,0.8319502074688797,0.8921161825726142,482
