first_model,second_model,n,interaction,ci_low,ci_high
GLM-5.2,GPT-5.6 Terra,1128,0.1950354609929078,0.162677304964539,0.22695035460992907
DeepSeek V4,GPT-5.6 Terra,982,0.18024439918533605,0.14662678207739308,0.21486761710794297
GLM-5.2,Claude Sonnet 5,1083,0.09695290858725762,0.07156048014773776,0.123730378578024
DeepSeek V4,Claude Sonnet 5,943,0.07423117709437964,0.044538706256627786,0.10392364793213149
GLM-5.2,DeepSeek V4,981,0.030071355759429153,0.009683995922528032,0.0509683995922528
GPT-5.6 Terra,Claude Sonnet 5,1084,-0.08394833948339483,-0.11531365313653137,-0.05350553505535055
