model,latency_quartile,semantic_accuracy,ci_low,ci_high,latency_mean_s,searches_mean,n_rows,n_tasks
GLM-5.2,Fastest,0.9038461538461539,0.8717948717948718,0.9358974358974359,6.451075500196165,1.993993993993994,333,312
GLM-5.2,Q2,0.846875,0.80625,0.884375,8.573061081300299,2.0632530120481927,332,320
GLM-5.2,Q3,0.8359375,0.7953125,0.875,10.672544988523047,2.4066265060240966,332,320
GLM-5.2,Slowest,0.5817307692307693,0.5256410256410257,0.6362179487179487,17.840639729815795,3.6174698795180724,332,312
DeepSeek V4,Fastest,0.9172661870503597,0.8848920863309353,0.9496402877697842,3.615025461615027,2.051051051051051,333,278
DeepSeek V4,Q2,0.8828125,0.846875,0.9156640624999994,6.868786294058145,2.0963855421686746,332,320
DeepSeek V4,Q3,0.8296529968454258,0.7886435331230284,0.8706624605678234,10.570938925427127,2.4909638554216866,332,317
DeepSeek V4,Slowest,0.6018808777429467,0.54858934169279,0.6551724137931034,28.2926535879273,3.6686746987951806,332,319
GPT-5.6 Terra,Fastest,0.940983606557377,0.9147540983606557,0.9639344262295082,5.463724180742785,1.0360360360360361,333,305
GPT-5.6 Terra,Q2,0.8742038216560509,0.8375796178343949,0.9092356687898089,7.088666469935911,1.5542168674698795,332,314
GPT-5.6 Terra,Q3,0.8984126984126984,0.8634920634920635,0.9301587301587302,9.152052193521017,2.11144578313253,332,315
GPT-5.6 Terra,Slowest,0.6831683168316832,0.6320132013201321,0.7343234323432343,16.995528064578412,3.4789156626506026,332,303
Claude Sonnet 5,Fastest,0.8782051282051282,0.842948717948718,0.9134615384615384,7.653435389916818,1.5945945945945945,333,312
Claude Sonnet 5,Q2,0.8785046728971962,0.8411214953271028,0.9127725856697819,9.611890728215137,1.9728915662650603,332,321
Claude Sonnet 5,Q3,0.8157051282051282,0.7708333333333334,0.8557692307692307,11.21849211368216,1.9939759036144578,332,312
Claude Sonnet 5,Slowest,0.5884353741496599,0.532312925170068,0.6462585034013606,22.836798873292395,3.1234939759036147,332,294
