outcome,term,estimate,se,ci_low,ci_high,p,n_obs
judge,ret,0.36720839700402,0.014082428163427661,0.3396073449888293,0.3948094490192108,6.888651837567122e-150,10632
judge,ret_x_age30,-0.026391623319658147,0.002736828043355064,-0.0317557077165133,-0.021027538922802996,5.255390244306348e-22,10632
judge,ret_x_quant,-0.04919243161508605,0.012434729993192591,-0.07356405455922352,-0.024820808670948585,7.619875704348299e-05,10632
gated,ret,0.10664164946940025,0.013050380568857054,0.08106337356989908,0.13221992536890143,3.044886146500597e-16,10632
gated,ret_x_age30,-0.01263276283078886,0.002536200068258975,-0.01760362362216448,-0.007661902039413243,6.326294776969166e-07,10632
gated,ret_x_quant,0.09386613662623818,0.011523180323326502,0.07128111820515762,0.11645115504731873,3.7661646357343197e-16,10632
