mediator,field,unit,n_rows,odds_ratio,ci_low,ci_high,p_value,holm_p
Domain diversity,domain_entropy,per 1 SD,10497,1.481753112558115,1.3459246695661504,1.6312891324619194,1.0912381399628398e-15,6.547428839777039e-15
Token-discounted gain,token_discounted_gain,per 1 SD,10498,1.4476559515084872,1.239799277850523,1.690360521560663,2.896127829361873e-06,1.4480639146809365e-05
Evidence precision,evidence_precision,per 1 SD,10498,1.6681756638180822,1.2940356543026732,2.1504894676603743,7.839278625443205e-05,0.0003135711450177282
Literal-gold coverage,snippet_sufficiency,present vs absent,10498,2.0927284232387784,1.3811593306535246,3.1708957512955473,0.0004957069126351336,0.001487120737905401
Compression distinctness,compression_redundancy,per 1 SD,10498,1.1270878961280995,1.0161240691073843,1.2501693092600261,0.02366941542564287,0.04733883085128574
Temporal grounding,temporal_grounding,per 1 SD,9472,0.9534125813267158,0.8523930241008434,1.0664042578139772,0.4037929117816158,0.4037929117816158
